neighbourhood_group,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,room_type_n
Manhattan,Private room,180,1,1,0.17,0
Manhattan,Private room,125,1,10,0.38,0
Manhattan,Private room,55,5,2,0.07,0
Brooklyn,Private room,100,1,2,2.0,0
Brooklyn,Private room,95,1,21,1.48,0
Brooklyn,Private room,35,5,1,0.21,0
Manhattan,Entire home/apt,275,3,89,3.41,1
Brooklyn,Private room,75,10,0,0.0,0
Brooklyn,Entire home/apt,125,2,2,2.0,1
Queens,Entire home/apt,110,2,2,0.16,1
Brooklyn,Private room,45,1,13,2.07,0
Brooklyn,Entire home/apt,190,4,0,0.0,1
Manhattan,Entire home/apt,165,1,321,3.93,1
Manhattan,Entire home/apt,205,2,109,4.29,1
Manhattan,Private room,100,4,32,2.87,0
Brooklyn,Private room,50,1,0,0.0,0
Manhattan,Private room,100,1,8,0.49,0
Manhattan,Private room,95,5,45,1.4,0
Brooklyn,Entire home/apt,125,1,6,0.13,1
Manhattan,Entire home/apt,120,7,0,0.0,1
Brooklyn,Entire home/apt,275,5,77,1.89,1
Queens,Private room,37,1,114,3.18,0
Manhattan,Entire home/apt,75,1,16,2.13,1
Brooklyn,Private room,60,2,1,0.07,0
Brooklyn,Entire home/apt,185,3,0,0.0,1
Brooklyn,Entire home/apt,120,3,232,2.41,1
Manhattan,Entire home/apt,325,7,0,0.0,1
Manhattan,Private room,40,10,0,0.0,0
Brooklyn,Entire home/apt,125,4,10,0.17,1
Queens,Entire home/apt,99,1,49,0.99,1
Manhattan,Private room,180,4,1,0.06,0
Bronx,Private room,80,2,29,1.81,0
Brooklyn,Private room,65,3,2,1.22,0
Manhattan,Entire home/apt,200,3,0,0.0,1
Brooklyn,Private room,70,5,3,0.06,0
Queens,Entire home/apt,120,2,78,2.55,1
Manhattan,Private room,99,1,38,6.44,0
Manhattan,Private room,85,5,8,0.29,0
Brooklyn,Entire home/apt,110,1,179,3.56,1
Brooklyn,Entire home/apt,150,2,11,0.42,1
Queens,Shared room,37,1,18,0.75,2
Manhattan,Private room,109,1,2,0.29,0
Brooklyn,Private room,75,1,16,5.27,0
Manhattan,Entire home/apt,199,1,34,1.5,1
Brooklyn,Entire home/apt,133,2,49,1.0,1
Manhattan,Entire home/apt,250,5,1,0.05,1
Manhattan,Private room,60,3,8,0.21,0
Brooklyn,Private room,23,3,2,0.11,0
Manhattan,Private room,99,7,2,0.77,0
Bronx,Entire home/apt,145,2,14,0.77,1
Queens,Private room,99,3,4,0.08,0
Brooklyn,Private room,39,1,62,1.34,0
Queens,Private room,49,4,6,0.95,0
Brooklyn,Private room,65,5,2,1.71,0
Brooklyn,Entire home/apt,89,3,21,1.14,1
Brooklyn,Private room,60,3,8,0.36,0
Queens,Private room,40,2,1,0.02,0
Manhattan,Entire home/apt,175,5,2,0.04,1
Brooklyn,Private room,50,5,1,1.0,0
Queens,Private room,58,2,78,2.22,0
Manhattan,Entire home/apt,170,4,1,0.01,1
Manhattan,Private room,160,2,11,0.87,0
Manhattan,Private room,100,2,43,1.65,0
Manhattan,Private room,200,1,20,2.25,0
Brooklyn,Entire home/apt,210,2,35,3.11,1
Brooklyn,Entire home/apt,89,3,69,2.25,1
Manhattan,Shared room,195,2,13,0.16,2
Brooklyn,Private room,75,2,170,4.58,0
Manhattan,Entire home/apt,110,3,30,1.62,1
Brooklyn,Entire home/apt,125,5,1,0.16,1
Brooklyn,Private room,46,1,0,0.0,0
Manhattan,Private room,54,3,71,2.01,0
Brooklyn,Entire home/apt,148,3,20,1.27,1
Bronx,Private room,55,2,112,4.65,0
Manhattan,Entire home/apt,170,4,12,0.31,1
Brooklyn,Private room,52,2,68,3.25,0
Manhattan,Private room,185,1,0,0.0,0
Manhattan,Private room,51,5,16,1.12,0
Manhattan,Entire home/apt,185,10,1,0.64,1
Brooklyn,Entire home/apt,290,3,4,0.39,1
Manhattan,Private room,140,2,44,0.49,0
Manhattan,Private room,40,3,1,0.02,0
Brooklyn,Entire home/apt,149,9,13,0.86,1
Brooklyn,Private room,60,1,1,0.03,0
Brooklyn,Private room,150,1,2,0.04,0
Brooklyn,Private room,65,2,0,0.0,0
Brooklyn,Private room,90,1,0,0.0,0
Manhattan,Entire home/apt,105,5,24,0.85,1
Brooklyn,Private room,80,2,5,0.18,0
Brooklyn,Shared room,20,7,2,0.56,2
Manhattan,Entire home/apt,199,5,18,1.65,1
Brooklyn,Entire home/apt,105,4,1,0.03,1
Brooklyn,Entire home/apt,130,3,6,2.09,1
Brooklyn,Entire home/apt,160,2,22,4.71,1
Brooklyn,Private room,100,3,14,0.98,0
Queens,Private room,45,1,7,2.5,0
Manhattan,Entire home/apt,189,3,205,1.96,1
Manhattan,Private room,110,3,2,0.05,0
Manhattan,Private room,75,2,124,1.92,0
Bronx,Private room,38,2,0,0.0,0
Manhattan,Entire home/apt,145,3,2,2.0,1
Queens,Entire home/apt,179,2,31,3.65,1
Manhattan,Private room,129,4,0,0.0,0
Queens,Private room,88,8,0,0.0,0
Manhattan,Private room,93,2,138,2.23,0
Brooklyn,Private room,65,1,51,1.83,0
Queens,Private room,55,2,16,4.36,0
Brooklyn,Private room,53,2,24,2.93,0
Brooklyn,Private room,49,4,2,0.04,0
Brooklyn,Private room,65,1,119,1.61,0
Manhattan,Private room,87,2,235,3.37,0
Manhattan,Private room,150,1,1,0.02,0
Manhattan,Entire home/apt,170,4,112,2.97,1
Manhattan,Private room,85,1,9,0.9,0
Brooklyn,Private room,50,7,0,0.0,0
Manhattan,Entire home/apt,250,4,1,0.05,1
Brooklyn,Private room,65,2,30,1.55,0
Manhattan,Entire home/apt,195,1,3,0.08,1
Manhattan,Private room,50,5,1,0.05,0
Manhattan,Private room,80,1,5,0.74,0
Brooklyn,Private room,55,1,11,0.31,0
Brooklyn,Private room,69,1,2,0.04,0
Brooklyn,Entire home/apt,85,3,25,1.3,1
Brooklyn,Entire home/apt,140,2,133,2.52,1
Manhattan,Private room,65,6,1,0.03,0
Manhattan,Entire home/apt,225,2,0,0.0,1
Brooklyn,Entire home/apt,195,2,57,0.99,1
Manhattan,Entire home/apt,80,1,1,0.02,1
Queens,Entire home/apt,101,5,93,2.52,1
Bronx,Entire home/apt,110,2,19,0.97,1
Manhattan,Entire home/apt,275,2,16,0.67,1
Manhattan,Entire home/apt,195,5,1,0.03,1
Brooklyn,Entire home/apt,100,2,25,1.55,1
Brooklyn,Entire home/apt,140,2,54,4.06,1
Manhattan,Entire home/apt,248,6,1,0.02,1
Queens,Private room,85,11,0,0.0,0
Manhattan,Private room,99,1,3,0.44,0
Manhattan,Entire home/apt,200,3,49,0.53,1
Brooklyn,Private room,109,1,0,0.0,0
Manhattan,Private room,90,1,32,2.02,0
Manhattan,Entire home/apt,175,3,7,0.3,1
Queens,Entire home/apt,200,5,19,1.18,1
Manhattan,Private room,80,1,2,2.0,0
Brooklyn,Entire home/apt,167,3,0,0.0,1
Manhattan,Entire home/apt,100,1,1,0.03,1
Queens,Private room,40,1,2,0.09,0
Brooklyn,Private room,55,1,3,0.58,0
Brooklyn,Private room,130,3,7,0.15,0
Manhattan,Entire home/apt,250,5,2,0.04,1
Manhattan,Entire home/apt,200,7,38,1.03,1
Manhattan,Entire home/apt,45,2,7,0.12,1
Brooklyn,Private room,34,2,24,3.16,0
Queens,Entire home/apt,199,10,0,0.0,1
Brooklyn,Entire home/apt,95,5,3,2.09,1
Brooklyn,Private room,59,5,26,0.93,0
Queens,Private room,40,2,2,2.0,0
Queens,Entire home/apt,64,1,32,3.47,1
Queens,Entire home/apt,59,1,113,2.79,1
Manhattan,Entire home/apt,285,7,10,3.53,1
Brooklyn,Entire home/apt,115,3,131,2.27,1
Brooklyn,Private room,59,1,1,1.0,0
Brooklyn,Private room,75,2,2,0.85,0
Manhattan,Entire home/apt,140,2,4,0.53,1
Brooklyn,Entire home/apt,250,3,41,2.94,1
Brooklyn,Private room,70,5,1,0.14,0
Queens,Private room,60,3,3,0.1,0
Manhattan,Entire home/apt,200,2,82,2.02,1
Manhattan,Private room,83,2,1,0.15,0
Manhattan,Entire home/apt,140,3,137,4.07,1
Brooklyn,Private room,40,5,3,0.27,0
Manhattan,Private room,91,1,1,0.02,0
Manhattan,Entire home/apt,250,1,0,0.0,1
Manhattan,Private room,60,3,10,0.47,0
Brooklyn,Entire home/apt,149,2,13,0.52,1
Queens,Entire home/apt,90,2,0,0.0,1
Brooklyn,Private room,45,2,18,0.63,0
Manhattan,Entire home/apt,150,1,1,0.02,1
Brooklyn,Private room,90,2,32,1.24,0
Brooklyn,Entire home/apt,285,3,3,3.0,1
Manhattan,Entire home/apt,168,1,126,4.78,1
Brooklyn,Private room,149,3,4,0.13,0
Brooklyn,Entire home/apt,85,2,0,0.0,1
Queens,Private room,60,2,24,1.14,0
Brooklyn,Entire home/apt,180,2,2,0.03,1
Manhattan,Entire home/apt,108,7,3,0.16,1
Manhattan,Private room,74,1,2,0.05,0
Brooklyn,Entire home/apt,225,2,0,0.0,1
Brooklyn,Private room,80,2,100,1.73,0
Brooklyn,Private room,45,2,0,0.0,0
Brooklyn,Entire home/apt,179,8,39,0.77,1
Queens,Private room,38,2,13,2.06,0
Brooklyn,Entire home/apt,80,3,8,0.41,1
Manhattan,Private room,120,1,18,1.22,0
Brooklyn,Private room,55,2,16,0.52,0
Manhattan,Private room,69,1,4,0.1,0
Brooklyn,Entire home/apt,300,3,7,1.11,1
Queens,Private room,37,2,32,1.96,0
Manhattan,Shared room,65,2,9,0.21,2
Queens,Private room,58,2,0,0.0,0
Manhattan,Private room,80,2,0,0.0,0
Brooklyn,Entire home/apt,110,7,195,2.72,1
Brooklyn,Entire home/apt,138,5,1,0.1,1
Manhattan,Private room,65,1,28,2.0,0
Manhattan,Private room,120,5,5,0.6,0
Brooklyn,Entire home/apt,300,7,1,0.16,1
Bronx,Entire home/apt,100,2,57,1.17,1
Brooklyn,Entire home/apt,295,2,9,2.9,1
Manhattan,Entire home/apt,125,4,3,0.04,1
Manhattan,Entire home/apt,200,1,0,0.0,1
Brooklyn,Entire home/apt,250,3,31,1.27,1
Brooklyn,Private room,69,3,0,0.0,0
Manhattan,Entire home/apt,200,2,0,0.0,1
Manhattan,Private room,300,1,0,0.0,0
Queens,Private room,57,2,14,0.37,0
Brooklyn,Entire home/apt,66,2,18,0.9,1
Manhattan,Private room,100,2,12,0.17,0
Bronx,Private room,45,2,6,2.28,0
Brooklyn,Private room,80,3,0,0.0,0
Brooklyn,Entire home/apt,165,4,67,2.66,1
Brooklyn,Private room,69,1,143,2.41,0
Brooklyn,Entire home/apt,159,4,142,2.74,1
Manhattan,Private room,89,1,1,0.03,0
Queens,Private room,43,1,76,3.63,0
Brooklyn,Entire home/apt,149,2,22,0.49,1
Brooklyn,Private room,50,3,3,0.43,0
Manhattan,Entire home/apt,200,2,0,0.0,1
Brooklyn,Entire home/apt,150,2,13,0.94,1
Manhattan,Private room,75,3,134,2.88,0
Brooklyn,Entire home/apt,100,5,2,0.66,1
Queens,Private room,125,3,0,0.0,0
Brooklyn,Entire home/apt,150,2,21,0.29,1
Brooklyn,Entire home/apt,100,1,0,0.0,1
Brooklyn,Entire home/apt,200,2,13,0.37,1
Manhattan,Private room,90,1,42,5.04,0
Brooklyn,Private room,65,2,23,1.25,0
Manhattan,Entire home/apt,150,2,2,0.04,1
Brooklyn,Shared room,60,4,1,0.09,2
Brooklyn,Entire home/apt,100,2,1,0.03,1
Brooklyn,Entire home/apt,199,3,16,2.57,1
Brooklyn,Entire home/apt,95,3,6,0.54,1
Manhattan,Private room,76,2,60,2.37,0
Queens,Entire home/apt,60,1,30,5.45,1
Manhattan,Entire home/apt,299,2,109,1.04,1
Queens,Private room,50,5,3,0.05,0
Brooklyn,Entire home/apt,120,2,0,0.0,1
Queens,Private room,50,7,2,0.15,0
Queens,Entire home/apt,275,2,29,2.13,1
Manhattan,Entire home/apt,250,2,1,0.02,1
Manhattan,Private room,89,10,0,0.0,0
Manhattan,Private room,100,1,51,5.15,0
Manhattan,Entire home/apt,225,3,28,1.87,1
Queens,Private room,50,1,12,1.55,0
Queens,Private room,135,1,2,0.09,0
Manhattan,Private room,100,5,204,1.92,0
Manhattan,Private room,125,3,4,0.08,0
Queens,Entire home/apt,105,2,2,0.24,1
Queens,Entire home/apt,150,1,3,1.91,1
Brooklyn,Entire home/apt,195,2,1,0.47,1
Brooklyn,Private room,60,3,2,0.09,0
Queens,Shared room,30,3,2,2.0,2
Brooklyn,Entire home/apt,150,1,7,0.12,1
Manhattan,Entire home/apt,150,1,23,1.42,1
Queens,Private room,91,2,0,0.0,0
Manhattan,Entire home/apt,150,2,9,1.41,1
Brooklyn,Entire home/apt,130,2,53,3.99,1
Brooklyn,Entire home/apt,100,3,14,0.6,1
Manhattan,Private room,119,2,4,0.16,0
Brooklyn,Entire home/apt,150,2,0,0.0,1
Manhattan,Entire home/apt,110,7,0,0.0,1
Brooklyn,Entire home/apt,200,2,1,0.03,1
Manhattan,Entire home/apt,165,1,23,6.83,1
Manhattan,Private room,100,1,3,1.8,0
Manhattan,Shared room,55,2,0,0.0,2
Brooklyn,Private room,57,2,27,2.89,0
Manhattan,Private room,70,2,228,4.27,0
Manhattan,Private room,83,7,18,0.66,0
Brooklyn,Private room,90,1,24,2.18,0
Brooklyn,Entire home/apt,100,3,4,0.29,1
Queens,Entire home/apt,200,2,1,1.0,1
Manhattan,Entire home/apt,211,3,21,4.47,1
Brooklyn,Entire home/apt,122,3,101,2.08,1
Manhattan,Entire home/apt,159,1,126,2.7,1
Brooklyn,Entire home/apt,139,2,93,3.02,1
Manhattan,Private room,80,4,1,0.06,0
Manhattan,Entire home/apt,195,1,11,7.5,1
Manhattan,Entire home/apt,125,2,32,1.77,1
Brooklyn,Entire home/apt,150,3,0,0.0,1
Brooklyn,Entire home/apt,98,8,1,0.1,1
Brooklyn,Entire home/apt,150,1,0,0.0,1
Manhattan,Entire home/apt,159,4,3,0.16,1
Manhattan,Private room,72,1,3,0.08,0
Brooklyn,Private room,50,3,5,0.32,0
Queens,Private room,52,1,108,2.71,0
Brooklyn,Entire home/apt,69,3,64,4.06,1
Brooklyn,Private room,60,1,0,0.0,0
Brooklyn,Private room,38,1,33,1.83,0
Brooklyn,Private room,78,1,80,2.44,0
Brooklyn,Entire home/apt,149,2,49,0.73,1
Queens,Shared room,37,1,6,0.33,2
Manhattan,Entire home/apt,170,3,2,0.17,1
Manhattan,Entire home/apt,125,3,9,2.13,1
Queens,Entire home/apt,98,1,34,1.38,1
Brooklyn,Private room,110,2,3,0.12,0
Brooklyn,Private room,76,3,163,5.22,0
Brooklyn,Private room,100,1,58,2.74,0
Queens,Private room,42,2,12,2.4,0
Queens,Entire home/apt,150,1,0,0.0,1
Queens,Entire home/apt,210,7,0,0.0,1
Manhattan,Private room,50,7,2,0.6,0
Brooklyn,Entire home/apt,129,5,1,0.24,1
Manhattan,Private room,100,7,1,0.03,0
Manhattan,Entire home/apt,160,5,5,0.27,1
Brooklyn,Entire home/apt,95,2,69,4.52,1
Queens,Private room,45,1,1,1.0,0
Manhattan,Entire home/apt,115,3,38,1.81,1
Manhattan,Private room,220,3,5,2.73,0
Queens,Entire home/apt,70,1,64,3.18,1
Brooklyn,Private room,98,4,0,0.0,0
Manhattan,Entire home/apt,175,2,81,1.59,1
Brooklyn,Entire home/apt,129,5,48,0.87,1
Manhattan,Private room,180,1,14,0.4,0
Brooklyn,Entire home/apt,75,7,2,0.13,1
Manhattan,Private room,50,1,98,3.25,0
Brooklyn,Entire home/apt,325,2,67,2.27,1
Queens,Shared room,32,3,1,0.14,2
Manhattan,Private room,105,1,3,0.28,0
Manhattan,Private room,75,1,2,0.11,0
Manhattan,Private room,49,2,0,0.0,0
Brooklyn,Private room,75,3,72,2.14,0
Brooklyn,Private room,35,1,0,0.0,0
Brooklyn,Entire home/apt,160,4,33,0.87,1
Manhattan,Entire home/apt,175,4,13,0.17,1
Brooklyn,Private room,42,3,5,0.1,0
Brooklyn,Entire home/apt,80,2,3,1.03,1
Brooklyn,Entire home/apt,68,2,5,0.2,1
Manhattan,Private room,135,3,65,2.92,0
Brooklyn,Entire home/apt,177,3,23,0.6,1
Brooklyn,Private room,38,7,4,2.35,0
Brooklyn,Private room,52,2,25,2.31,0
Manhattan,Private room,71,3,76,2.59,0
Queens,Private room,49,1,15,5.62,0
Brooklyn,Private room,73,1,10,0.36,0
Manhattan,Entire home/apt,215,1,52,3.34,1
Manhattan,Entire home/apt,150,1,1,0.05,1
Manhattan,Private room,50,7,2,0.13,0
Brooklyn,Private room,47,1,17,1.63,0
Brooklyn,Entire home/apt,86,1,2,1.58,1
Manhattan,Entire home/apt,200,3,26,2.14,1
Manhattan,Entire home/apt,175,2,8,0.59,1
Brooklyn,Entire home/apt,72,4,121,2.54,1
Queens,Entire home/apt,150,5,0,0.0,1
Brooklyn,Private room,50,3,0,0.0,0
Manhattan,Entire home/apt,185,2,7,6.56,1
Manhattan,Entire home/apt,160,7,9,0.24,1
Brooklyn,Entire home/apt,250,2,1,0.16,1
Queens,Private room,175,1,47,2.14,0
Brooklyn,Private room,40,1,1,0.83,0
Manhattan,Private room,179,2,34,1.31,0
Brooklyn,Entire home/apt,250,4,6,5.29,1
Brooklyn,Private room,155,1,0,0.0,0
Manhattan,Entire home/apt,300,2,0,0.0,1
Manhattan,Private room,85,4,3,0.21,0
Brooklyn,Private room,70,4,0,0.0,0
Manhattan,Private room,110,3,94,2.83,0
Manhattan,Entire home/apt,100,7,6,0.11,1
Brooklyn,Entire home/apt,90,4,0,0.0,1
Brooklyn,Entire home/apt,150,7,4,0.08,1
Manhattan,Entire home/apt,260,7,2,0.75,1
Brooklyn,Entire home/apt,90,1,11,7.17,1
Brooklyn,Private room,85,1,89,4.35,0
Brooklyn,Private room,60,7,1,0.12,0
Brooklyn,Private room,60,3,9,1.43,0
Manhattan,Entire home/apt,130,3,1,1.0,1
Manhattan,Private room,85,1,148,4.96,0
Manhattan,Private room,95,3,70,1.38,0
Brooklyn,Entire home/apt,160,3,2,2.0,1
Queens,Entire home/apt,99,4,4,0.09,1
Brooklyn,Entire home/apt,93,5,3,0.28,1
Manhattan,Entire home/apt,95,2,5,0.24,1
Brooklyn,Private room,70,2,12,5.54,0
Manhattan,Entire home/apt,175,2,7,0.38,1
Manhattan,Private room,60,1,245,3.6,0
Brooklyn,Private room,40,1,5,0.12,0
Brooklyn,Entire home/apt,150,4,2,0.26,1
Manhattan,Shared room,150,1,1,1.0,2
Brooklyn,Entire home/apt,160,5,15,0.97,1
Brooklyn,Private room,36,2,7,0.29,0
Brooklyn,Entire home/apt,65,6,2,0.8,1
Brooklyn,Shared room,20,2,0,0.0,2
Manhattan,Entire home/apt,299,2,10,1.46,1
Brooklyn,Entire home/apt,160,2,0,0.0,1
Brooklyn,Entire home/apt,175,3,46,2.84,1
Brooklyn,Private room,39,2,104,3.09,0
Brooklyn,Private room,100,3,19,0.42,0
Queens,Private room,55,1,40,1.83,0
Manhattan,Private room,163,1,30,0.64,0
Manhattan,Private room,85,1,162,3.91,0
Brooklyn,Entire home/apt,175,2,15,0.39,1
Brooklyn,Entire home/apt,115,3,9,0.63,1
Queens,Private room,45,1,14,0.58,0
Manhattan,Entire home/apt,90,3,51,0.57,1
Manhattan,Entire home/apt,300,5,0,0.0,1
Manhattan,Entire home/apt,325,2,0,0.0,1
Manhattan,Entire home/apt,125,11,1,0.09,1
Manhattan,Private room,69,7,48,0.61,0
Manhattan,Entire home/apt,220,4,60,1.01,1
Brooklyn,Private room,60,4,39,1.46,0
Staten Island,Private room,49,2,100,2.12,0
Queens,Private room,108,2,13,1.74,0
Manhattan,Entire home/apt,190,5,15,0.35,1
Queens,Entire home/apt,79,3,64,1.6,1
Manhattan,Private room,73,2,1,0.03,0
Queens,Private room,165,1,0,0.0,0
Queens,Entire home/apt,175,2,19,4.45,1
Brooklyn,Private room,60,5,2,0.08,0
Manhattan,Entire home/apt,225,1,1,0.02,1
Manhattan,Private room,81,1,0,0.0,0
Manhattan,Private room,40,1,2,0.05,0
Manhattan,Entire home/apt,165,3,2,0.11,1
Manhattan,Entire home/apt,145,2,2,2.0,1
Brooklyn,Private room,45,1,6,0.61,0
Brooklyn,Private room,225,5,0,0.0,0
Manhattan,Private room,70,1,209,6.45,0
Brooklyn,Private room,55,1,4,0.35,0
Brooklyn,Private room,140,5,1,0.02,0
Brooklyn,Entire home/apt,89,2,166,6.79,1
Manhattan,Entire home/apt,200,2,6,0.1,1
Brooklyn,Entire home/apt,60,2,20,1.13,1
Brooklyn,Entire home/apt,120,1,0,0.0,1
Brooklyn,Entire home/apt,100,1,25,1.35,1
Manhattan,Entire home/apt,225,1,0,0.0,1
Brooklyn,Private room,65,1,19,3.28,0
Queens,Private room,40,1,7,2.96,0
Manhattan,Entire home/apt,99,2,5,0.12,1
Brooklyn,Private room,95,9,4,0.18,0
Manhattan,Private room,60,2,8,2.53,0
Manhattan,Private room,150,2,32,1.58,0
Manhattan,Entire home/apt,195,1,136,3.26,1
Queens,Entire home/apt,80,10,81,0.98,1
Manhattan,Entire home/apt,99,8,6,0.07,1
Manhattan,Private room,100,4,0,0.0,0
Brooklyn,Private room,45,3,5,0.18,0
Brooklyn,Entire home/apt,112,2,168,4.11,1
Manhattan,Entire home/apt,219,1,36,2.83,1
Bronx,Private room,79,3,73,2.79,0
Brooklyn,Private room,115,2,2,0.92,0
Manhattan,Private room,129,1,111,4.61,0
Manhattan,Entire home/apt,185,2,165,1.92,1
Manhattan,Entire home/apt,120,3,32,1.39,1
Manhattan,Private room,110,1,73,6.48,0
Brooklyn,Private room,80,10,0,0.0,0
Brooklyn,Entire home/apt,120,5,0,0.0,1
Brooklyn,Private room,80,1,2,2.0,0
Manhattan,Entire home/apt,109,2,2,0.07,1
Manhattan,Entire home/apt,110,2,6,2.31,1
Manhattan,Private room,77,3,92,4.1,0
Queens,Private room,65,1,21,0.38,0
Brooklyn,Entire home/apt,70,4,128,1.34,1
Manhattan,Private room,68,1,14,2.02,0
Brooklyn,Private room,43,5,16,0.4,0
Brooklyn,Entire home/apt,100,4,12,0.92,1
Brooklyn,Private room,48,2,47,5.02,0
Manhattan,Entire home/apt,140,5,2,0.19,1
Manhattan,Private room,125,2,1,0.02,0
Brooklyn,Entire home/apt,130,7,1,0.03,1
Brooklyn,Private room,150,1,0,0.0,0
Brooklyn,Shared room,25,2,1,0.13,2
Manhattan,Private room,65,1,3,0.08,0
Brooklyn,Entire home/apt,150,4,1,0.08,1
Brooklyn,Private room,65,2,155,3.17,0
Manhattan,Private room,140,2,248,2.99,0
Brooklyn,Entire home/apt,170,2,24,0.38,1
Queens,Entire home/apt,125,2,0,0.0,1
Brooklyn,Entire home/apt,185,4,95,1.33,1
Brooklyn,Shared room,45,2,4,0.31,2
Brooklyn,Entire home/apt,159,3,32,1.67,1
Manhattan,Entire home/apt,184,4,22,0.33,1
Brooklyn,Private room,112,5,2,0.37,0
Brooklyn,Private room,99,7,10,0.28,0
Brooklyn,Private room,49,1,18,4.74,0
Manhattan,Private room,85,3,34,1.6,0
Queens,Private room,40,7,59,1.67,0
Manhattan,Private room,105,1,88,3.76,0
Manhattan,Entire home/apt,170,2,9,0.26,1
Manhattan,Entire home/apt,100,5,15,0.29,1
Brooklyn,Private room,126,2,15,0.8,0
Queens,Private room,62,5,2,2.0,0
Manhattan,Entire home/apt,199,2,0,0.0,1
Brooklyn,Private room,33,2,3,0.75,0
Manhattan,Private room,61,5,25,0.79,0
Brooklyn,Entire home/apt,168,2,20,0.41,1
Brooklyn,Private room,50,3,4,0.08,0
Brooklyn,Entire home/apt,229,5,11,1.22,1
Brooklyn,Entire home/apt,175,5,4,0.31,1
Queens,Private room,80,1,5,3.0,0
Brooklyn,Entire home/apt,90,3,24,0.45,1
Brooklyn,Entire home/apt,150,3,1,0.04,1
Manhattan,Private room,129,2,290,5.92,0
Manhattan,Private room,57,2,57,5.9,0
Manhattan,Private room,85,2,11,5.79,0
Manhattan,Private room,150,2,121,1.72,0
Brooklyn,Private room,79,1,0,0.0,0
Brooklyn,Private room,45,3,1,0.18,0
Manhattan,Private room,85,2,24,0.63,0
Queens,Entire home/apt,149,2,28,1.81,1
Brooklyn,Entire home/apt,59,5,3,0.4,1
Brooklyn,Private room,70,4,7,0.21,0
Manhattan,Entire home/apt,170,1,9,0.15,1
Brooklyn,Private room,85,5,29,2.91,0
Manhattan,Entire home/apt,149,5,26,0.35,1
Brooklyn,Entire home/apt,85,1,0,0.0,1
Brooklyn,Private room,145,1,52,0.82,0
Manhattan,Private room,128,1,0,0.0,0
Manhattan,Private room,99,6,5,0.43,0
Manhattan,Entire home/apt,120,1,73,1.07,1
Brooklyn,Shared room,40,1,0,0.0,2
Manhattan,Private room,45,4,19,2.54,0
Brooklyn,Private room,74,2,22,0.63,0
Brooklyn,Private room,80,5,2,0.14,0
Manhattan,Private room,70,1,117,4.74,0
Brooklyn,Private room,70,2,38,1.33,0
Queens,Private room,55,1,64,3.21,0
Brooklyn,Entire home/apt,285,2,17,0.44,1
Brooklyn,Entire home/apt,160,2,130,5.6,1
Brooklyn,Entire home/apt,100,4,20,0.26,1
Manhattan,Entire home/apt,200,3,37,2.85,1
Brooklyn,Private room,36,1,8,0.43,0
Brooklyn,Private room,100,1,0,0.0,0
Queens,Entire home/apt,150,3,64,1.84,1
Brooklyn,Entire home/apt,200,2,0,0.0,1
Brooklyn,Entire home/apt,125,3,15,4.25,1
Brooklyn,Private room,46,7,3,0.25,0
Manhattan,Entire home/apt,198,2,17,0.35,1
Brooklyn,Private room,100,2,34,2.45,0
Brooklyn,Private room,65,1,44,3.73,0
Brooklyn,Entire home/apt,239,2,10,0.29,1
Brooklyn,Entire home/apt,125,2,116,1.55,1
Brooklyn,Entire home/apt,150,2,14,0.38,1
Staten Island,Private room,43,10,0,0.0,0
Brooklyn,Entire home/apt,95,4,68,2.3,1
Manhattan,Entire home/apt,200,1,1,1.0,1
Brooklyn,Entire home/apt,300,3,10,0.7,1
Brooklyn,Entire home/apt,115,4,89,2.44,1
Manhattan,Private room,100,1,0,0.0,0
Queens,Entire home/apt,150,1,24,5.26,1
Brooklyn,Private room,100,1,0,0.0,0
Brooklyn,Private room,40,4,0,0.0,0
Manhattan,Entire home/apt,125,1,88,1.91,1
Manhattan,Entire home/apt,165,5,25,0.54,1
Brooklyn,Private room,300,2,0,0.0,0
Brooklyn,Entire home/apt,100,2,13,0.31,1
Brooklyn,Entire home/apt,200,3,32,1.52,1
Queens,Private room,50,2,13,0.4,0
Manhattan,Private room,95,5,14,1.39,0
Manhattan,Private room,38,3,1,0.09,0
Queens,Entire home/apt,135,1,229,4.65,1
Manhattan,Entire home/apt,279,3,5,0.15,1
Manhattan,Private room,75,1,37,0.53,0
Manhattan,Private room,129,1,1,1.0,0
Queens,Private room,51,2,129,4.63,0
Brooklyn,Private room,65,1,14,0.49,0
Manhattan,Private room,75,2,4,0.08,0
Brooklyn,Private room,62,5,1,0.02,0
Brooklyn,Entire home/apt,93,1,209,6.35,1
Manhattan,Entire home/apt,149,5,5,0.45,1
Queens,Private room,55,2,16,1.71,0
Manhattan,Entire home/apt,199,2,67,1.64,1
Queens,Entire home/apt,130,2,3,0.47,1
Manhattan,Entire home/apt,300,4,0,0.0,1
Manhattan,Entire home/apt,128,4,2,2.0,1
Manhattan,Private room,70,1,1,0.02,0
Brooklyn,Entire home/apt,200,3,7,0.62,1
Brooklyn,Entire home/apt,250,1,18,0.85,1
Manhattan,Private room,65,5,2,0.05,0
Manhattan,Private room,90,2,3,0.21,0
Manhattan,Private room,100,2,5,0.55,0
Queens,Entire home/apt,100,3,2,0.07,1
Manhattan,Private room,115,2,27,0.94,0
